reseña_bruta;rating;tema_principal
No cumplió con lo esperado. va lenta y se traba;2;usabilidad_app
Fue una experiencia estándar. funciona pero a veces falla;3;usabilidad_app
Fue una experiencia muy agradable. todo sabroso y calentito;4;calidad_comida
No cumplió con lo esperado. tardo muchisimo la entrega;2;tiempo_entrega
El servicio fue insatisfactorio. precios abusivos;1;precio
No cumplió con lo esperado. tardo muchisimo la entrega;2;tiempo_entrega
El servicio fue insatisfactorio. va lenta y se traba ok;2;usabilidad_app
Simplemente correcto. tiempo normal supongo brutal;3;tiempo_entrega
Quedé muy satisfecho con el servicio. normlmente hy reprtidores disponibles;4;cobertura_zona
La experiencia fue excelente. llego rapido 👍;4;tiempo_entrega
En general, estuvo aceptable. me ayudaron pero lento;3;soporte_cliente
Quedé bastante decepcionado. VA LENTA Y SE TRABA;2;usabilidad_app
El servicio fue insatisfactorio. tardo muchisimo la entrega;2;tiempo_entrega
El servicio fue insatisfactorio. faltaban productos fatal;1;errores_pedido
No cumplió con lo esperado. COMIDA FRIA Y PASADA 😡;1;calidad_comida
En general, estuvo aceptable. funciona pero a veces falla;3;usabilidad_app
No fue una buena experiencia. atencion pesima no responden 😡;1;soporte_cliente
Simplemente correcto. PRECIO NORMAL SUPONGO;3;precio
Quedé bastante decepcionado. 40 min de retraso, un desastre 👎;1;tiempo_entrega
Superó mis expectativas. entrega bastante rapida la verdad;4;tiempo_entrega
No fue nada fuera de lo común. funciona pero a veces falla;3;usabilidad_app
Quedé bastante decepcionado. NO MUY BUENA LA CALIDAD;2;calidad_comida
Simplemente correcto. me ayudaron pero lento;3;soporte_cliente
La experiencia dejó mucho que desear. no muy buen l clidd brutal;2;calidad_comida
Fue una experiencia estándar. me ayudaron pero lento;3;soporte_cliente
No fue una buena experiencia. precios abusivos 🤦;1;precio
El servicio fue insatisfactorio. va lenta y se traba 🤦;2;usabilidad_app
No fue nada fuera de lo común. hubo un pequeño error pero nada grave;3;errores_pedido
No fue una buena experiencia. nunca llega el pedido pfff;1;tiempo_entrega
La experiencia dejó mucho que desear. CRASHEA TODO EL RATO;1;usabilidad_app
Quedé muy satisfecho con el servicio. BUENA ATENCION AL CLIENTE 😊;4;soporte_cliente
Cumplió sin destacar demasiado. a veces hay servicio a veces no;3;cobertura_zona
Fue una experiencia muy agradable. rica y bien preparada 😊;4;calidad_comida
Cumplió sin destacar demasiado. hubo un pequeño error pero nada grave;3;errores_pedido
Todo salió realmente bien. impresionante lo rapido que llego 🔥;5;tiempo_entrega
Fue una experiencia estándar. LLEGO UN POCO TARDE PERO OK brutal;3;tiempo_entrega
No cumplió con lo esperado. atencion pesima no responden 😡 👎;1;soporte_cliente
faltaban productos 🤦 pfff;1;errores_pedido
Todo salió realmente bien. soporte excelente solucionaron todo 👏;5;soporte_cliente
No cumplió con lo esperado. faltaban productos;1;errores_pedido
ME TRAJERON OTRA COSA 😤;1;errores_pedido
El servicio fue insatisfactorio. llego tarde otra vez 😤;2;tiempo_entrega
Cumplió sin destacar demasiado. funciona pero a veces falla meh;3;usabilidad_app
El servicio fue insatisfactorio. precios abusivos;1;precio
Quedé bastante decepcionado. poca cobertura donde vivo 😭;2;cobertura_zona
Fue una experiencia estándar. me ayudaron pero lento;3;soporte_cliente
El servicio fue insatisfactorio. SE EQUIVOCARON PERO LO SOLUCIONARON TARDE;2;errores_pedido
Simplemente correcto. tiempo normal supongo;3;tiempo_entrega
Cumplió sin destacar demasiado. calidad normal, nada especial;3;calidad_comida
En general, estuvo aceptable. me ayudaron pero lento brutal;3;soporte_cliente
No fue nada fuera de lo común. a veces hay servicio a veces no;3;cobertura_zona
Quedé bastante decepcionado. faltaban productos;1;errores_pedido
Fue una experiencia muy agradable. super brto con l promo 🔥 ok;5;precio
Quedé muy satisfecho con el servicio. ME ENCANTA la interfaz super intuitiva 😍;5;usabilidad_app
Todo salió realmente bien. BUEN PRECIO PARA LA CALIDAD 👍;4;precio
No cumplió con lo esperado. no muy buena la calidad;2;calidad_comida
Quedé muy satisfecho con el servicio. ESPECTACULAR l comid 😍🔥 pfff;5;calidad_comida
Quedé muy satisfecho con el servicio. super barato con la promo 🔥;5;precio
La experiencia fue excelente. llego rapido 👍;4;tiempo_entrega
Todo salió realmente bien. buen tencion l cliente 😊;4;soporte_cliente
Quedé muy satisfecho con el servicio. impresionnte lo rpido que llego 🔥;5;tiempo_entrega
La experiencia fue excelente. pedido perfecto sin errores 👏 🔥;5;errores_pedido
ME ENCANTA la interfaz super intuitiva 😍 pfff;5;usabilidad_app
La experiencia fue excelente. SUPER BARATO CON LA PROMO 🔥;5;precio
No cumplió con lo esperado. l pp no funcion se cuelg 😡;1;usabilidad_app
La experiencia fue excelente. todo sbroso y clentito fatal;4;calidad_comida
Quedé bastante decepcionado. SE EQUIVOCARON PERO LO SOLUCIONARON TARDE ok;2;errores_pedido
El servicio fue insatisfactorio. nunca hay disponibilidad;1;cobertura_zona
Quedé muy satisfecho con el servicio. ENTREGA BASTANTE RAPIDA LA VERDAD;4;tiempo_entrega
super barato con la promo 🔥 😊 ok;5;precio
Cumplió sin destacar demasiado. A VECES HAY SERVICIO A VECES NO brutal;3;cobertura_zona
super barato con la promo 🔥 😊 brutal;5;precio
La experiencia dejó mucho que desear. CARISIMO para lo que es 💸;1;precio
Todo salió realmente bien. entrega bastante rapida la verdad;4;tiempo_entrega
Superó mis expectativas. SIEMPRE HAY COBERTURA EN MI ZONA 👍 😊;5;cobertura_zona
Quedé bastante decepcionado. va lenta y se traba 👎;2;usabilidad_app
Cumplió sin destacar demasiado. hubo un pequeño error pero nd grve;3;errores_pedido
La experiencia fue excelente. SOPORTE EXCELENTE SOLUCIONARON TODO 👏 pfff;5;soporte_cliente
No fue nada fuera de lo común. hubo un pequeño error pero nd grve meh;3;errores_pedido
normlmente hy reprtidores disponibles 👏 meh;4;cobertura_zona
Quedé muy satisfecho con el servicio. ric y bien preprd 😊;4;calidad_comida
Fue una experiencia muy agradable. BUEN PRECIO PARA LA CALIDAD;4;precio
Quedé bastante decepcionado. TARDARON EN CONTESTAR 🤦;2;soporte_cliente
Superó mis expectativas. app facil de usar 👍 😊;4;usabilidad_app
No fue nada fuera de lo común. me yudron pero lento;3;soporte_cliente
Todo salió realmente bien. LLEGO RAPIDO 👍;4;tiempo_entrega
Todo salió realmente bien. todo correcto est vez 👍;4;errores_pedido
Quedé muy satisfecho con el servicio. rica y bien preparada 😊 👏;4;calidad_comida
Todo salió realmente bien. BUENA ATENCION AL CLIENTE 😊 pfff;4;soporte_cliente
Superó mis expectativas. buen precio para la calidad;4;precio
El servicio fue insatisfactorio. POCA COBERTURA DONDE VIVO 👎;2;cobertura_zona
La experiencia dejó mucho que desear. algo caro la verdad;2;precio
Fue una experiencia muy agradable. todo correcto est vez 👍 🔥;4;errores_pedido
La experiencia dejó mucho que desear. soporte inutil fatal;1;soporte_cliente
Fue una experiencia muy agradable. entrega bastante rapida la verdad 🔥;4;tiempo_entrega
Quedé muy satisfecho con el servicio. soporte excelente solucionaron todo 👏 🔥;5;soporte_cliente
La experiencia fue excelente. normalmente hay repartidores disponibles ok;4;cobertura_zona
me trajeron otra cosa meh;1;errores_pedido
Simplemente correcto. HUBO UN PEQUEÑO ERROR PERO NADA GRAVE;3;errores_pedido
Superó mis expectativas. SUPER BARATO CON LA PROMO 🔥 😊;5;precio
No fue una buena experiencia. soporte inutil;1;soporte_cliente
El servicio fue insatisfactorio. tardaron en contestar meh;2;soporte_cliente
Quedé bastante decepcionado. crshe todo el rto;1;usabilidad_app
El servicio fue insatisfactorio. v lent y se trb 😭;2;usabilidad_app
Quedé muy satisfecho con el servicio. NORMALMENTE HAY REPARTIDORES DISPONIBLES ok;4;cobertura_zona
El servicio fue insatisfactorio. NO HAY REPARTIDORES EN MI ZONA 😡;1;cobertura_zona
En general, estuvo aceptable. a veces hay servicio a veces no;3;cobertura_zona
CRASHEA TODO EL RATO 😡;1;usabilidad_app
El servicio fue insatisfactorio. sabe fatal, incomible 😭;1;calidad_comida
Superó mis expectativas. pedido perfecto sin errores 👏;5;errores_pedido
Superó mis expectativas. normalmente hay repartidores disponibles;4;cobertura_zona
Quedé bastante decepcionado. COMIDA FRIA Y PASADA 😡 👎;1;calidad_comida
Fue una experiencia muy agradable. ESPECTACULAR LA COMIDA 😍🔥 pfff;5;calidad_comida
No fue una buena experiencia. nunca hay disponibilidad;1;cobertura_zona
Simplemente correcto. me ayudaron pero lento;3;soporte_cliente
La experiencia dejó mucho que desear. atencion pesima no responden 😡 😤;1;soporte_cliente
No cumplió con lo esperado. algo fria pero comible 😡;2;calidad_comida
Cumplió sin destacar demasiado. TIEMPO NORMAL SUPONGO;3;tiempo_entrega
ESPECTACULAR la comida 😍🔥 pfff;5;calidad_comida
Superó mis expectativas. super brto con l promo 🔥;5;precio
Quedé bastante decepcionado. POCA COBERTURA DONDE VIVO;2;cobertura_zona
La experiencia dejó mucho que desear. SE EQUIVOCARON PERO LO SOLUCIONARON TARDE fatal;2;errores_pedido
En general, estuvo aceptable. LLEGO UN POCO TARDE PERO OK;3;tiempo_entrega
En general, estuvo aceptable. precio norml supongo;3;precio
En general, estuvo aceptable. llego un poco trde pero ok;3;tiempo_entrega
No cumplió con lo esperado. tardaron en contestar;2;soporte_cliente
Simplemente correcto. precio normal supongo;3;precio
Fue una experiencia estándar. funciona pero a veces falla;3;usabilidad_app
En general, estuvo aceptable. tiempo normal supongo;3;tiempo_entrega
La experiencia fue excelente. buen precio para la calidad;4;precio
La experiencia dejó mucho que desear. me trajeron otra cosa;1;errores_pedido
Quedé muy satisfecho con el servicio. ME ENCANTA la interfaz super intuitiva 😍;5;usabilidad_app
El servicio fue insatisfactorio. ALGO CARO LA VERDAD;2;precio
Cumplió sin destacar demasiado. a veces hay servicio a veces no;3;cobertura_zona
Quedé muy satisfecho con el servicio. buen precio para la calidad 🔥;4;precio
La experiencia fue excelente. normalmente hay repartidores disponibles;4;cobertura_zona
La experiencia dejó mucho que desear. lgo cro l verdd;2;precio
v lent y se trb 👎 fatal;2;usabilidad_app
Quedé bastante decepcionado. algo fria pero comible 🤦;2;calidad_comida
Todo salió realmente bien. normalmente hay repartidores disponibles 🔥;4;cobertura_zona
La experiencia fue excelente. normalmente hay repartidores disponibles;4;cobertura_zona
Fue una experiencia muy agradable. LLEGO RAPIDO 👍;4;tiempo_entrega
No fue nada fuera de lo común. precio norml supongo;3;precio
Quedé bastante decepcionado. CRASHEA TODO EL RATO;1;usabilidad_app
El servicio fue insatisfactorio. tardo muchisimo la entrega 😭;2;tiempo_entrega
Superó mis expectativas. super barato con la promo 🔥;5;precio
calidad increible me encanto fatal;5;calidad_comida
Cumplió sin destacar demasiado. me yudron pero lento;3;soporte_cliente
La experiencia fue excelente. buen precio para la calidad;4;precio
La experiencia fue excelente. SUPER BARATO CON LA PROMO 🔥;5;precio
Simplemente correcto. llego un poco tarde pero ok;3;tiempo_entrega
La experiencia dejó mucho que desear. COMIDA FRIA Y PASADA 😡;1;calidad_comida
La experiencia dejó mucho que desear. SE EQUIVOCARON PERO LO SOLUCIONARON TARDE;2;errores_pedido
No fue una buena experiencia. algo fria pero comible 😭;2;calidad_comida
Todo salió realmente bien. SOPORTE EXCELENTE SOLUCIONARON TODO 👏;5;soporte_cliente
Quedé bastante decepcionado. SOPORTE INUTIL;1;soporte_cliente
Quedé bastante decepcionado. ATENCION PESIMA NO RESPONDEN 😡;1;soporte_cliente
ALGO CARO LA VERDAD 😡 ok;2;precio
En general, estuvo aceptable. precio normal supongo;3;precio
No fue nada fuera de lo común. precio normal supongo meh;3;precio
ENTREGA BASTANTE RAPIDA LA VERDAD 🔥 meh;4;tiempo_entrega
El servicio fue insatisfactorio. la app no funciona se cuelga 😡;1;usabilidad_app
Superó mis expectativas. ME ENCANTA la interfaz super intuitiva 😍;5;usabilidad_app
Superó mis expectativas. SIEMPRE HAY COBERTURA EN MI ZONA 👍 fatal;5;cobertura_zona
Superó mis expectativas. super barato con la promo 🔥;5;precio
Todo salió realmente bien. impresionante lo rapido que llego 🔥;5;tiempo_entrega
No fue nada fuera de lo común. a veces hay servicio a veces no;3;cobertura_zona
La experiencia fue excelente. llego rapido 👍 pfff;4;tiempo_entrega
PEDI HACE 2 HORAS Y NO LLEGA 😡 🤦;1;tiempo_entrega
Todo salió realmente bien. app facil de usar 👍 🔥;4;usabilidad_app
Quedé muy satisfecho con el servicio. soporte excelente solucionron todo 👏;5;soporte_cliente
No fue una buena experiencia. algo fria pero comible;2;calidad_comida
No cumplió con lo esperado. llego tarde otra vez 😤 pfff;2;tiempo_entrega
La experiencia fue excelente. SOPORTE EXCELENTE SOLUCIONARON TODO 👏 🔥;5;soporte_cliente
La experiencia dejó mucho que desear. se equivocaron pero lo solucionaron tarde 👎;2;errores_pedido
No fue una buena experiencia. PEDI hace 2 horas y no llega 😡;1;tiempo_entrega
Superó mis expectativas. super barato con la promo 🔥;5;precio
Quedé muy satisfecho con el servicio. ESPECTACULAR la comida 😍🔥 👍;5;calidad_comida
Quedé muy satisfecho con el servicio. ESPECTACULAR la comida 😍🔥;5;calidad_comida
Fue una experiencia estándar. me ayudaron pero lento pfff;3;soporte_cliente
me trajeron otra cosa 😭 pfff;1;errores_pedido
Fue una experiencia muy agradable. normalmente hay repartidores disponibles;4;cobertura_zona
Simplemente correcto. ME AYUDARON PERO LENTO;3;soporte_cliente
Quedé muy satisfecho con el servicio. siempre hay cobertura en mi zona 👍 😍;5;cobertura_zona
No cumplió con lo esperado. PEDI hace 2 horas y no llega 😡 brutal;1;tiempo_entrega
No fue una buena experiencia. algo fria pero comible 👎;2;calidad_comida
Fue una experiencia muy agradable. SUPER rpido en menos de 15min 😍;5;tiempo_entrega
Todo salió realmente bien. buen precio pr l clidd;4;precio
Superó mis expectativas. impresionante lo rapido que llego 🔥 fatal;5;tiempo_entrega
Quedé muy satisfecho con el servicio. ESPECTACULAR la comida 😍🔥;5;calidad_comida
SOPORTE INUTIL 😭 ok;1;soporte_cliente
Cumplió sin destacar demasiado. hubo un pequeño error pero nada grave;3;errores_pedido
Quedé muy satisfecho con el servicio. normalmente hay repartidores disponibles 😍;4;cobertura_zona
El servicio fue insatisfactorio. trdron en contestr;2;soporte_cliente
Fue una experiencia muy agradable. normalmente hay repartidores disponibles 👍;4;cobertura_zona
Cumplió sin destacar demasiado. clidd norml, nd especil;3;calidad_comida
Simplemente correcto. LLEGO UN POCO TARDE PERO OK;3;tiempo_entrega
Quedé muy satisfecho con el servicio. normlmente hy reprtidores disponibles 🔥;4;cobertura_zona
En general, estuvo aceptable. TIEMPO NORMAL SUPONGO;3;tiempo_entrega
El servicio fue insatisfactorio. no hay repartidores en mi zona 😡 🤦;1;cobertura_zona
La experiencia fue excelente. buena atencion al cliente 😊;4;soporte_cliente
El servicio fue insatisfactorio. crashea todo el rato;1;usabilidad_app
El servicio fue insatisfactorio. la app no funciona se cuelga 😡;1;usabilidad_app
PRECIOS ABUSIVOS 😤;1;precio
No fue nada fuera de lo común. hubo un pequeño error pero nd grve;3;errores_pedido
Fue una experiencia estándar. tiempo norml supongo;3;tiempo_entrega
Simplemente correcto. llego un poco tarde pero ok;3;tiempo_entrega
Todo salió realmente bien. buen precio para la calidad;4;precio
La experiencia dejó mucho que desear. tardaron en contestar;2;soporte_cliente
Superó mis expectativas. todo sbroso y clentito;4;calidad_comida
Quedé bastante decepcionado. algo fria pero comible meh;2;calidad_comida
soporte excelente solucionaron todo 👏 😊 brutal;5;soporte_cliente
No fue nada fuera de lo común. llego un poco tarde pero ok meh;3;tiempo_entrega
Todo salió realmente bien. NORMALMENTE HAY REPARTIDORES DISPONIBLES;4;cobertura_zona
No fue una buena experiencia. se equivocaron pero lo solucionaron tarde 😤;2;errores_pedido
El servicio fue insatisfactorio. POCA COBERTURA DONDE VIVO 👎;2;cobertura_zona
Fue una experiencia muy agradable. normalmente hay repartidores disponibles;4;cobertura_zona
La experiencia dejó mucho que desear. tardaron en contestar brutal;2;soporte_cliente
No cumplió con lo esperado. faltaban productos;1;errores_pedido
No fue nada fuera de lo común. CALIDAD NORMAL, NADA ESPECIAL;3;calidad_comida
Quedé muy satisfecho con el servicio. entrega bastante rapida la verdad;4;tiempo_entrega
APP FACIL DE USAR 👍 😍 ok;4;usabilidad_app
No fue una buena experiencia. 40 min de retraso, un desastre;1;tiempo_entrega
Fue una experiencia estándar. precio normal supongo;3;precio
Todo salió realmente bien. app facil de usar 👍;4;usabilidad_app
No fue nada fuera de lo común. me ayudaron pero lento;3;soporte_cliente
No cumplió con lo esperado. LA APP NO FUNCIONA SE CUELGA 😡 😡;1;usabilidad_app
La experiencia fue excelente. super barato con la promo 🔥;5;precio
Cumplió sin destacar demasiado. precio normal supongo meh;3;precio
RICA Y BIEN PREPARADA 😊 🔥 meh;4;calidad_comida
Quedé bastante decepcionado. llego tarde otra vez 😤;2;tiempo_entrega
Fue una experiencia muy agradable. BUENA ATENCION AL CLIENTE 😊 brutal;4;soporte_cliente
No cumplió con lo esperado. va lenta y se traba 😭;2;usabilidad_app
Superó mis expectativas. ME ENCANTA la interfaz super intuitiva 😍;5;usabilidad_app
La experiencia fue excelente. soporte excelente solucionaron todo 👏 😊;5;soporte_cliente
En general, estuvo aceptable. precio normal supongo;3;precio
Quedé bastante decepcionado. va lenta y se traba pfff;2;usabilidad_app
La experiencia fue excelente. todo correcto esta vez 👍;4;errores_pedido
La experiencia fue excelente. SIEMPRE HAY COBERTURA EN MI ZONA 👍;5;cobertura_zona
La experiencia fue excelente. normalmente hay repartidores disponibles 🔥;4;cobertura_zona
Simplemente correcto. hubo un pequeño error pero nada grave;3;errores_pedido
Superó mis expectativas. calidad increible me encanto fatal;5;calidad_comida
Cumplió sin destacar demasiado. CALIDAD NORMAL, NADA ESPECIAL;3;calidad_comida
Cumplió sin destacar demasiado. FUNCIONA PERO A VECES FALLA;3;usabilidad_app
Todo salió realmente bien. todo sabroso y calentito fatal;4;calidad_comida
En general, estuvo aceptable. funcion pero  veces fll;3;usabilidad_app
La experiencia fue excelente. soporte excelente solucionron todo 👏;5;soporte_cliente
Fue una experiencia estándar. llego un poco tarde pero ok meh;3;tiempo_entrega
Fue una experiencia muy agradable. app facil de usar 👍 brutal;4;usabilidad_app
Superó mis expectativas. buen precio para la calidad;4;precio
El servicio fue insatisfactorio. la app no funciona se cuelga 😡;1;usabilidad_app
Fue una experiencia estándar. funciona pero a veces falla;3;usabilidad_app
Quedé muy satisfecho con el servicio. calidad increible me encanto 😊;5;calidad_comida
Quedé bastante decepcionado. COMIDA FRIA Y PASADA 😡;1;calidad_comida
Quedé bastante decepcionado. atencion pesima no responden 😡 ok;1;soporte_cliente
No cumplió con lo esperado. nunca hay disponibilidad;1;cobertura_zona
En general, estuvo aceptable. precio normal supongo;3;precio
Fue una experiencia muy agradable. pp fcil de usr 👍 👍;4;usabilidad_app
Quedé muy satisfecho con el servicio. todo sabroso y calentito 😍;4;calidad_comida
Quedé bastante decepcionado. nunca hay disponibilidad 👎;1;cobertura_zona
No fue una buena experiencia. precios abusivos;1;precio
No cumplió con lo esperado. nunca hay disponibilidad;1;cobertura_zona
El servicio fue insatisfactorio. soporte inutil;1;soporte_cliente
normalmente hay repartidores disponibles 😍 fatal;4;cobertura_zona
Todo salió realmente bien. NORMALMENTE HAY REPARTIDORES DISPONIBLES;4;cobertura_zona
La experiencia fue excelente. app facil de usar 👍 😍;4;usabilidad_app
La experiencia dejó mucho que desear. ALGO CARO LA VERDAD;2;precio
Quedé muy satisfecho con el servicio. APP FACIL DE USAR 👍 ok;4;usabilidad_app
Quedé bastante decepcionado. nunca llega el pedido pfff;1;tiempo_entrega
Fue una experiencia estándar. calidad normal, nada especial;3;calidad_comida
se equivocaron pero lo solucionaron tarde 😭 meh;2;errores_pedido
Fue una experiencia muy agradable. siempre hy cobertur en mi zon 👍 😍;5;cobertura_zona
La experiencia dejó mucho que desear. tardaron en contestar;2;soporte_cliente
No fue nada fuera de lo común. TIEMPO NORMAL SUPONGO;3;tiempo_entrega
La experiencia fue excelente. soporte excelente solucionaron todo 👏;5;soporte_cliente
Fue una experiencia estándar. calidad normal, nada especial;3;calidad_comida
Todo salió realmente bien. SOPORTE EXCELENTE SOLUCIONARON TODO 👏 pfff;5;soporte_cliente
Superó mis expectativas. APP FACIL DE USAR 👍;4;usabilidad_app
No fue nada fuera de lo común. tiempo normal supongo;3;tiempo_entrega
El servicio fue insatisfactorio. va lenta y se traba 👎;2;usabilidad_app
Quedé muy satisfecho con el servicio. normalmente hay repartidores disponibles;4;cobertura_zona
Fue una experiencia muy agradable. buena atencion al cliente 😊;4;soporte_cliente
Cumplió sin destacar demasiado. calidad normal, nada especial pfff;3;calidad_comida
Fue una experiencia muy agradable. normalmente hay repartidores disponibles;4;cobertura_zona
pedido incorrecto otra vez 😡 👎;1;errores_pedido
No cumplió con lo esperado. pedido incorrecto otra vez 😡;1;errores_pedido
La experiencia fue excelente. APP FACIL DE USAR 👍;4;usabilidad_app
Todo salió realmente bien. NORMALMENTE HAY REPARTIDORES DISPONIBLES fatal;4;cobertura_zona
Superó mis expectativas. SUPER BARATO CON LA PROMO 🔥 👏;5;precio
La experiencia fue excelente. super barato con la promo 🔥 meh;5;precio
Quedé bastante decepcionado. no hay repartidores en mi zona 😡 👎;1;cobertura_zona
Superó mis expectativas. APP FACIL DE USAR 👍;4;usabilidad_app
Quedé muy satisfecho con el servicio. SUPER RAPIDO EN MENOS DE 15MIN 😍;5;tiempo_entrega
La experiencia dejó mucho que desear. soporte inutil;1;soporte_cliente
Todo salió realmente bien. rica y bien preparada 😊;4;calidad_comida
En general, estuvo aceptable. hubo un pequeño error pero nada grave;3;errores_pedido
Superó mis expectativas. NORMALMENTE HAY REPARTIDORES DISPONIBLES pfff;4;cobertura_zona
La experiencia fue excelente. todo correcto est vez 👍 👏;4;errores_pedido
El servicio fue insatisfactorio. llego tarde otra vez 😤;2;tiempo_entrega
Superó mis expectativas. calidad increible me encanto 👏;5;calidad_comida
No fue nada fuera de lo común. llego un poco trde pero ok;3;tiempo_entrega
El servicio fue insatisfactorio. soporte inutil;1;soporte_cliente
El servicio fue insatisfactorio. VA LENTA Y SE TRABA;2;usabilidad_app
La experiencia fue excelente. todo correcto esta vez 👍;4;errores_pedido
Quedé bastante decepcionado. me trajeron otra cosa;1;errores_pedido
Fue una experiencia muy agradable. normalmente hay repartidores disponibles;4;cobertura_zona
Fue una experiencia muy agradable. LLEGO RAPIDO 👍;4;tiempo_entrega
En general, estuvo aceptable. FUNCIONA PERO A VECES FALLA;3;usabilidad_app
Quedé muy satisfecho con el servicio. buena atencion al cliente 😊;4;soporte_cliente
Simplemente correcto. CALIDAD NORMAL, NADA ESPECIAL;3;calidad_comida
Simplemente correcto. precio normal supongo pfff;3;precio
La experiencia fue excelente. buen precio pr l clidd 👏;4;precio
Fue una experiencia estándar. me ayudaron pero lento;3;soporte_cliente
Fue una experiencia muy agradable. soporte excelente solucionaron todo 👏;5;soporte_cliente
La experiencia dejó mucho que desear. no hy reprtidores en mi zon 😡;1;cobertura_zona
La experiencia dejó mucho que desear. soporte inutil;1;soporte_cliente
Todo salió realmente bien. NORMALMENTE HAY REPARTIDORES DISPONIBLES 😍;4;cobertura_zona
La experiencia dejó mucho que desear. llego tarde otra vez 😤 😭;2;tiempo_entrega
No fue una buena experiencia. pedido incorrecto otra vez 😡;1;errores_pedido
Fue una experiencia estándar. precio norml supongo;3;precio
No cumplió con lo esperado. me trjeron otr cos;1;errores_pedido
Fue una experiencia muy agradable. soporte excelente solucionron todo 👏;5;soporte_cliente
La experiencia dejó mucho que desear. la app no funciona se cuelga 😡;1;usabilidad_app
La experiencia dejó mucho que desear. CRASHEA TODO EL RATO 😡;1;usabilidad_app
La experiencia fue excelente. SUPER BARATO CON LA PROMO 🔥;5;precio
No fue nada fuera de lo común. precio normal supongo;3;precio
La experiencia dejó mucho que desear. tardo muchisimo la entrega;2;tiempo_entrega
En general, estuvo aceptable. a veces hay servicio a veces no;3;cobertura_zona
Quedé bastante decepcionado. no hay repartidores en mi zona 😡 😤;1;cobertura_zona
Quedé muy satisfecho con el servicio. BUENA ATENCION AL CLIENTE 😊 😊;4;soporte_cliente
Quedé muy satisfecho con el servicio. calidad increible me encanto;5;calidad_comida
hubo un pequeño error pero nd grve ok;3;errores_pedido
El servicio fue insatisfactorio. precios abusivos;1;precio
La experiencia fue excelente. super barato con la promo 🔥;5;precio
Fue una experiencia muy agradable. impresionante lo rapido que llego 🔥 👍;5;tiempo_entrega
No fue una buena experiencia. algo fria pero comible 😡;2;calidad_comida
Fue una experiencia estándar. clidd norml, nd especil brutal;3;calidad_comida
La experiencia fue excelente. NORMALMENTE HAY REPARTIDORES DISPONIBLES;4;cobertura_zona
Quedé bastante decepcionado. VA LENTA Y SE TRABA;2;usabilidad_app
Superó mis expectativas. todo correcto esta vez 👍 pfff;4;errores_pedido
Simplemente correcto.  veces hy servicio  veces no;3;cobertura_zona
Quedé bastante decepcionado. me trajeron otra cosa;1;errores_pedido
Fue una experiencia muy agradable. PEDIDO PERFECTO SIN ERRORES 👏;5;errores_pedido
Todo salió realmente bien. SUPER BARATO CON LA PROMO 🔥;5;precio
Fue una experiencia muy agradable. PEDIDO PERFECTO SIN ERRORES 👏;5;errores_pedido
me trajeron otra cosa fatal;1;errores_pedido
La experiencia fue excelente. siempre hy cobertur en mi zon 👍;5;cobertura_zona
Superó mis expectativas. siempre hay cobertura en mi zona 👍;5;cobertura_zona
Todo salió realmente bien. super barato con la promo 🔥 brutal;5;precio
Todo salió realmente bien. buen precio para la calidad;4;precio
Quedé muy satisfecho con el servicio. buen tencion l cliente 😊;4;soporte_cliente
Fue una experiencia muy agradable. rica y bien preparada 😊 😊;4;calidad_comida
No fue nada fuera de lo común. LLEGO UN POCO TARDE PERO OK;3;tiempo_entrega
Fue una experiencia muy agradable. ESPECTACULAR LA COMIDA 😍🔥 👍;5;calidad_comida
Quedé muy satisfecho con el servicio. entrega bastante rapida la verdad;4;tiempo_entrega
La experiencia fue excelente. pedido perfecto sin errores 👏 😍 fatal;5;errores_pedido
La experiencia fue excelente. pedido perfecto sin errores 👏 👏;5;errores_pedido
Quedé bastante decepcionado. CRASHEA TODO EL RATO 😡;1;usabilidad_app
soporte excelente solucionaron todo 👏 🔥 meh;5;soporte_cliente
Fue una experiencia muy agradable. SUPER rapido en menos de 15min 😍;5;tiempo_entrega
Superó mis expectativas. buen precio para la calidad 🔥;4;precio
Quedé bastante decepcionado. precios busivos;1;precio
Fue una experiencia muy agradable. SUPER rapido en menos de 15min 😍;5;tiempo_entrega
La experiencia fue excelente. TODO CORRECTO ESTA VEZ 👍;4;errores_pedido
Fue una experiencia muy agradable. normalmente hay repartidores disponibles;4;cobertura_zona
En general, estuvo aceptable. tiempo normal supongo;3;tiempo_entrega
Simplemente correcto. CALIDAD NORMAL, NADA ESPECIAL;3;calidad_comida
buena atencion al cliente 😊 👏 brutal;4;soporte_cliente
No fue una buena experiencia. algo caro la verdad;2;precio
Fue una experiencia muy agradable. clidd increible me encnto;5;calidad_comida
Quedé bastante decepcionado. va lenta y se traba 😡;2;usabilidad_app
No cumplió con lo esperado. faltaban productos;1;errores_pedido
La experiencia fue excelente. siempre hay cobertura en mi zona 👍;5;cobertura_zona
Superó mis expectativas. buen precio para la calidad 👏;4;precio
Fue una experiencia muy agradable. ME ENCANTA l interfz super intuitiv 😍 😊;5;usabilidad_app
No cumplió con lo esperado. comida fria y pasada 😡;1;calidad_comida
La experiencia dejó mucho que desear. 40 min de retraso, un desastre;1;tiempo_entrega
La experiencia fue excelente. entrega bastante rapida la verdad brutal;4;tiempo_entrega
Todo salió realmente bien. rica y bien preparada 😊 👏;4;calidad_comida
